exam_id,school,grade,year,semester,exam_type,total_questions,num,position_pct,qtype,source_status,source_detail,predicted_flag,predicted_qtype,type_changed,recorded_at,confidence
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,1,0.033,요지,confirmed,27STYD 3강 5번,True,제목,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,2,0.067,글의순서,confirmed,27STYD 7강 3번,True,빈칸추론,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,3,0.1,어휘,confirmed,27STYD 5강 3번,True,어휘,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,4,0.133,무관한문장,external,5차 계열 추정,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,5,0.167,빈칸추론,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,6,0.2,빈칸추론,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,7,0.233,빈칸추론,confirmed,27STYD 1강 1번,True,흐름무관,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,8,0.267,함축의미,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,9,0.3,빈칸추론,confirmed,27STYD 2강 4번,False,,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,10,0.333,문장삽입,confirmed,27STYD 2강 10번,True,글의순서,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,11,0.367,함축의미,confirmed,27STYD 4강 1번,False,,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,12,0.4,빈칸추론,confirmed,27STYD 6강 3번,False,,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,13,0.433,글의순서,confirmed,27STYD 8강 8번,True,함축의미,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,14,0.467,어휘,confirmed,27STYD 6강 11번,True,요약문완성,True,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,15,0.5,빈칸추론,confirmed,27STYD 8강 2번,False,,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,16,0.533,빈칸추론(AB),external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,17,0.567,함축의미,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,18,0.6,빈칸추론,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,19,0.633,요약문완성,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,20,0.667,어휘,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,21,0.7,주제,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,22,0.733,글의순서,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,23,0.767,문장삽입,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,24,0.8,빈칸추론,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,25,0.833,빈칸추론,external_reused,제철고2 2025 2학년 1학기 중간고사 재활용,False,,False,2026-07-03,direct
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,26,0.867,함축의미,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,27,0.9,요약문완성,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,28,0.933,어휘(ABC),external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,29,0.967,문장삽입,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
제철고_3학년_2026_1학기_기말,제철고,3학년,2026,1학기,기말고사,30,30,1.0,빈칸추론,external,27STYD 전체 미검출,False,,False,2026-07-03,indirect
